model,backend,precision,crop_mode,num_crops,crop_factors,dataset_view,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
alexnet,tensorrt,FP16,raw,1,raw,FireSmoke,6133,84.31,97.5,82.52,89.39,8.5,17.48,4051,104,858,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.423,0.628,2.881,13.86,0.658,0.331,0.482,3.333,6.676,1.114,5.983,19.562,0.244,0.034,0.2,0.715,11.238,1.736,9.932,27.176
alexnet,tensorrt,FP16,raw,1,raw,FireSmokeNEW,1987,79.16,90.32,77.14,83.21,16.74,22.86,1026,110,304,547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.715,0.95,2.898,9.259,0.699,0.405,0.488,3.675,7.276,2.191,5.991,19.714,0.259,0.054,0.202,0.71,12.197,3.154,10.023,27.695
alexnet,tensorrt,FP16,raw,1,raw,SmokeFire_unified,8120,83.05,95.96,81.38,88.07,11.38,18.62,5077,214,1162,1667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.494,0.707,2.881,13.860,0.668,0.349,0.482,3.675,6.823,1.378,5.983,19.714,0.248,0.039,0.200,0.715,11.473,2.083,9.932,27.695
alexnet,tensorrt,FP16,raw,1,raw,IAI_original,2592,42.13,92.46,17.79,29.84,3.25,82.21,319,26,1474,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.692,1.284,2.871,15.737,0.659,0.413,0.46,4.193,6.574,0.735,6.145,12.665,0.235,0.035,0.194,0.489,11.39,1.952,10.066,24.227
alexnet,tensorrt,FP16,raw,1,raw,IAI_filtered,2289,47.71,92.46,21.41,34.77,3.25,78.59,319,26,1171,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.692,1.284,2.871,15.737,0.659,0.413,0.46,4.193,6.574,0.735,6.145,12.665,0.235,0.035,0.194,0.489,11.39,1.952,10.066,24.227
mobilenet_v2,int8,INT8,crops,1,[1.4142],FireSmoke,6133,98.16,99.04,98.66,98.85,3.84,1.34,4843,47,66,1177,0.213,0.034,0.187,0.928,0.004,0.002,0.002,0.082,0.031,0.008,0.022,0.353,1.891,0.878,0.842,14.465,1.18,0.976,0.487,5.54,4.33,1.159,3.535,11.943,0.248,0.066,0.202,1.837,8.117,2.38,5.756,25.61
mobilenet_v2,int8,INT8,crops,1,[1.4142],FireSmokeNEW,1987,96.73,96.13,99.1,97.59,8.07,0.9,1318,53,12,604,0.211,0.054,0.18,2.077,0.004,0.002,0.003,0.047,0.032,0.011,0.024,0.36,1.889,0.881,0.843,5.805,1.167,0.964,0.482,5.935,4.363,1.204,3.622,12.206,0.244,0.054,0.194,0.949,8.125,2.367,5.716,19.682
mobilenet_v2,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,97.81,98.40,98.75,98.58,5.32,1.25,6161,100,78,1781,0.213,0.039,0.180,2.077,0.004,0.002,0.002,0.082,0.031,0.009,0.022,0.360,1.891,0.879,0.842,14.465,1.177,0.973,0.482,5.935,4.338,1.170,3.535,12.206,0.247,0.063,0.194,1.837,8.119,2.377,5.716,25.610
mobilenet_v2,int8,INT8,crops,1,[1.4142],IAI_original,2592,70.68,95.51,60.46,74.04,6.38,39.54,1084,51,709,748,0.215,0.024,0.189,0.506,0.005,0.002,0.003,0.052,0.031,0.005,0.023,0.109,2.198,1.146,0.832,9.625,1.294,1.094,0.472,5.869,4.298,1.046,3.583,10.971,0.26,0.07,0.197,1.011,8.523,2.596,5.679,20.258
mobilenet_v2,int8,INT8,crops,1,[1.4142],IAI_filtered,2289,80.03,95.51,72.75,82.59,6.38,27.25,1084,51,406,748,0.215,0.024,0.189,0.506,0.005,0.002,0.003,0.052,0.031,0.005,0.023,0.109,2.198,1.146,0.832,9.625,1.294,1.094,0.472,5.869,4.298,1.046,3.583,10.971,0.26,0.07,0.197,1.011,8.523,2.596,5.679,20.258
